VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
050735,"EVER HOUSEWARE CORPORATION",OUTRIGHT,"STORAGE AND ORGANIZER,KITCHENWARE,TABLEWARE"
050216,"EVEREST AND MARIANA INC",OUTRIGHT,KULTURA
050283,"EVEREST PACIFIC HOLDINGS INC",OUTRIGHT,WATSONS
050269,"EVERLASTING GENERAL MERCHANDISE CORP",OUTRIGHT,STATIONERY
050162,"EVERNEW APPAREL MFG INC",OUTRIGHT,"KIDS' WEAR - GIRLS,BOYS TEENS' WEAR,KIDS' WEAR - BOYS"
054146,"EVERSTRONG INDUSTRIAL SALES","STORE CONSIGNOR","APPLIANCE,KITCHENWARE,CRATE AND BARREL"
050579,"EVERWING ENTERPRISES",OUTRIGHT,"BABIES ACCS & FURN,STORAGE AND ORGANIZER,HARDWARE,WATSONS"
054133,"EVOLVE MISSHA INC","STORE CONSIGNOR",WATSONS
054136,"EXCLUSIVE STYLE CORPORATION","STORE CONSIGNOR","MEN'S WEAR,MEN'S WEAR DS"
050291,"EXELLE GARMENTS AND FASHION CORPORATION",OUTRIGHT,"MEN'S WEAR"
050287,"EXTRAORDINAIRE ENTERPRISES",OUTRIGHT,"MEN'S WEAR,WOMEN'S WEAR 1,GIRLS TEENS' WEAR,SURPLUS SHOP,KULTURA,SMART BUY"
054147,"EXTRAORDINARY PRODUCTS TRADE & MKTG INC","STORE CONSIGNOR",GADGETS
050306,"EZENTIAL CORPORATION",OUTRIGHT,WATSONS
054151,"EZY ASIA PACIFIC INCORPORATED","STORE CONSIGNOR","MUSIC N VIDEO"
060343,"FAB CONCEPTS UNLTD INC",OUTRIGHT,BAGS
064151,"FAB MIX ENTERPRISE","STORE CONSIGNOR","OUR HOME"
064170,"FAB.CHIC ENTERPRISE CO.","STORE CONSIGNOR","GIRLS TEENS' WEAR,GIRLS' TEEN WEAR DS"
060334,"FABEALINK INC",OUTRIGHT,WATSONS
064154,"FABLED GOODS OF THE EAST INC","STORE CONSIGNOR",KULTURA
064167,"FABTRENDS ENTERPRISE CO.","STORE CONSIGNOR","BOYS TEENS' WEAR,BOYS' TEEN WEAR DS"
064177,"FACE PARTY INC","STORE CONSIGNOR",WATSONS
060407,"FAMOUS MACAROONS ENTERPRISES",OUTRIGHT,SNACKS
064142,"FASHION AUTHORITY INC","STORE CONSIGNOR","MEN'S SHOES,MEN'S SHOES DS"
060338,"FASHION AVENUE COMPANY",OUTRIGHT,"WOMEN'S WEAR 1,GIRLS TEENS' WEAR,WOMEN'S ACCESSORIES"
064001,"FASHION DYNAMICS INC","STORE CONSIGNOR","BAGS,BAGS DS"
060425,"FASHION P.A.G.E. CORP.",OUTRIGHT,"KIDS' WEAR - GIRLS,BABIES' WEAR"
064135,"FASHIONFRESH APPAREL INC","STORE CONSIGNOR","BOYS TEENS' WEAR,BOYS' TEEN WEAR DS"
064140,"FASHIONPHILES INC","STORE CONSIGNOR","WOMEN'S WEAR 1,WOMEN'S WEAR 1 DS"
064066,"FAST ALTER STATION","STORE CONSIGNOR",OTHERS
060596,"FAVORITE CREATIONS COMPANY",OUTRIGHT,"MEN'S WEAR"
064115,"FBC GLOBAL TRADING PHILS. CORP.","STORE CONSIGNOR",TOYS
064176,"FEB20 ENTERPRISES","STORE CONSIGNOR",SNACKS
060130,"FEL-AR MARKETING",OUTRIGHT,"WOMEN'S ACCESSORIES,BAGS,KULTURA"
060237,"FELICISIMO MARTINEZ CO INC",OUTRIGHT,SNACKS
060774,"FELIX AND SOL EXPORT INTERNATIONAL",OUTRIGHT,KULTURA
060038,"FER VICK SHOE",OUTRIGHT,"KIDS' SHOES"
064058,"FERANGELI GUITAR HANDCRAFTER","STORE CONSIGNOR",KULTURA
060470,"FIBERLINE INDUSTRIES INC",OUTRIGHT,WATSONS
064163,"FIESTA GREETINGS INC","STORE CONSIGNOR",STATIONERY
060396,"FILHANDS ARTS AND CRAFTS",OUTRIGHT,KULTURA
060415,"FILIPINA CLIMATE SOLUTION, INC.",OUTRIGHT,APPLIANCE
060392,"FILIPINO ENTREPRENEURS & RESOURCESNETWORK (FERN) INC",OUTRIGHT,WATSONS
064018,"FIL-PACIFIC APPAREL CORPORATION","STORE CONSIGNOR","MEN'S WEAR,WOMEN'S WEAR 1,KIDS' WEAR - GIRLS,GIRLS TEENS' WEAR,BOYS TEENS' WEAR,KIDS' WEAR - BOYS,MEN'S WEAR DS,WOMEN'S WEAR 1 DS,KIDS' WEAR - GIRLS DS,GIRLS' TEEN WEAR DS,BOYS' TEEN WEAR DS,KIDS' WEAR - BOYS DS"
064161,"FILSTAR MANUFACTURING CORP","STORE CONSIGNOR","MEN'S SHOES,WOMEN'S SHOES,LUGGAGE,KIDS' SHOES,WOMEN'S SHOES DS,KIDS' SHOES DS,LUGGAGE DS,MEN'S SHOES DS"
060608,"FIL-STYRO CRAFT, INC.",OUTRIGHT,"DECOR AND ACCESSORIES,STATIONERY"
064147,"FINA FRANCHISING CORP","STORE CONSIGNOR",WATSONS
060356,"FINALI FURNITURES & HOME ACCESSORIES CO",OUTRIGHT,KULTURA
060446,"FINCA DEL CARMEN COFFEE FARM",OUTRIGHT,KULTURA
064077,"FIREFLY ELECTRIC AND LIGHTINGCORPORATION","STORE CONSIGNOR",HARDWARE
064157,"FIRMA OBJECTS OF ART INC","STORE CONSIGNOR",KULTURA
060175,"FIRST A TRADING",OUTRIGHT,"SURPLUS SHOP,WOMEN'S ACCESSORIES,KIDS' SHOES,OUR HOME,KULTURA,LINENS AND ACCESSORIES,DECOR AND ACCESSORIES,HARDWARE"
060128,"FIRST ASIA REALTY DEVELOPMENT CORP",OUTRIGHT,"TOYS,CHARACTER SHOP"
064116,"FIRST FASHIONISTA'S MARKETING","STORE CONSIGNOR","MEN'S SHOES,WOMEN'S SHOES,KIDS' SHOES,WOMEN'S SHOES DS,KIDS' SHOES DS,MEN'S SHOES DS"
060276,"FIRST PHILIPPINE SCALES INC",OUTRIGHT,"LINENS AND ACCESSORIES,HARDWARE"
064053,"FIRST TONDO GARMENTS INC","STORE CONSIGNOR","MEN'S WEAR,WOMEN'S WEAR 1,GIRLS TEENS' WEAR,MEN'S WEAR DS,WOMEN'S WEAR 1 DS,GIRLS' TEEN WEAR DS"
064158,"FLORA VERDE CORP","STORE CONSIGNOR",KULTURA
060401,"FLORADEL ENTERPRISES",OUTRIGHT,WATSONS
